epoch,accuracy,loss,val_accuracy,val_loss
0,0.781000018119812,0.6496353149414062,0.8912500143051147,0.28390172123908997
1,0.8525000214576721,0.36062029004096985,0.8600000143051147,0.37159645557403564
2,0.8784999847412109,0.30815598368644714,0.8974999785423279,0.2697584927082062
3,0.9035000205039978,0.262239009141922,0.8962500095367432,0.30438563227653503
4,0.9169999957084656,0.2193353772163391,0.8924999833106995,0.3012354373931885
5,0.9265000224113464,0.1942383050918579,0.9049999713897705,0.2949382960796356
6,0.9384999871253967,0.16757023334503174,0.8799999952316284,0.35867613554000854
7,0.9355000257492065,0.18127889931201935,0.8912500143051147,0.40835466980934143
8,0.9495000243186951,0.14326167106628418,0.887499988079071,0.4243038594722748
9,0.9564999938011169,0.1363808661699295,0.8987500071525574,0.43529629707336426
